Name,Age,City,Marks
Prakash,23,Butwal,65
Rina,21,Hetauda,65
Laxmi,20,,85
Kamal,,Dharan,70
Prakash,24,Pokhara,
Nisha,22,Pokhara,80
Bikash,23,Biratnagar,60
Prakash,,Hetauda,75
Laxmi,22,Kathmandu,60
Kamal,22,Dharan,75
Rina,20,Butwal,60
Laxmi,22,Kathmandu,85
Laxmi,24,Hetauda,80
Bikash,,,
Maya,22,Butwal,75
Kamal,20,,
Sita,24,Biratnagar,
Laxmi,21,Biratnagar,
Maya,,Pokhara,90
Sita,22,,70
Kamal,20,Hetauda,60
Aarav,21,Dharan,
Nisha,21,Butwal,60
Maya,23,Kathmandu,
Rohit,24,Hetauda,75
Aarav,22,Hetauda,70
Nisha,20,Biratnagar,70
Bikash,23,,85
Prakash,24,Pokhara,90
Rina,23,Pokhara,85
Rohit,,Butwal,85
Bikash,24,Biratnagar,85
Kamal,24,Hetauda,85
Bikash,22,Dharan,85
Prakash,24,Biratnagar,80
Kamal,23,Butwal,70
Rohit,24,Butwal,85
Prakash,22,Biratnagar,
Sita,22,Butwal,70
Rina,,Biratnagar,70
Rohit,23,Kathmandu,65
Sita,21,Biratnagar,80
Nisha,21,,85
Rohit,24,Biratnagar,60
Nisha,,Butwal,75
Kamal,20,,90
Sita,24,Butwal,
Rina,,Pokhara,60
Prakash,23,Pokhara,80
Laxmi,23,,75
Bikash,23,Kathmandu,80
Aarav,23,Pokhara,
Rina,23,Biratnagar,70
Sita,,Butwal,75
Laxmi,,Pokhara,70
Rina,22,Pokhara,
Sita,21,Kathmandu,60
Maya,23,,
Maya,20,,60
Nisha,,Hetauda,75
Rina,20,Kathmandu,75
Maya,20,Biratnagar,85
Sita,20,,80
Nisha,22,Butwal,85
Sita,,Kathmandu,80
Nisha,20,Pokhara,85
Rina,23,Butwal,70
Laxmi,24,Butwal,75
Prakash,20,Pokhara,60
Rohit,22,Kathmandu,80
Laxmi,,Pokhara,
Kamal,22,Hetauda,80
Sita,20,Butwal,60
Kamal,,Dharan,85
Laxmi,24,Dharan,80
Nisha,20,Biratnagar,90
Rohit,22,,70
Rohit,21,Pokhara,75
Aarav,23,Pokhara,60
Rohit,22,Biratnagar,75
Prakash,,Biratnagar,90
Rohit,20,Biratnagar,80
Laxmi,23,Butwal,80
Aarav,20,Hetauda,
Laxmi,,Pokhara,90
Laxmi,20,Butwal,60
Bikash,21,Biratnagar,
Aarav,23,Pokhara,70
Laxmi,23,Butwal,
Bikash,,Hetauda,65
Bikash,21,Butwal,60
Aarav,22,Hetauda,65
Kamal,20,Biratnagar,90
Nisha,24,Hetauda,85
Prakash,20,Pokhara,65
Nisha,20,Biratnagar,70
Rohit,22,Pokhara,
Prakash,20,Dharan,85
Rohit,21,Kathmandu,
Laxmi,21,Hetauda,65
