Student_ID,Name,Age,Marks,Department,Email
1,Student_1,,62,BCA,student1@example.com
2,Student_2,21,62,BSc CSIT,student2@example.com
3,Student_3,19,88,MIT-AI,student3@example.com
4,Student_4,22,96,BSc CSIT,student4@example.com
5,Student_5,,73,BSc CSIT,student5@example.com
6,Student_6,,60,BCA,student6@example.com
7,Student_7,,,MIT-AI,student7@example.com
8,Student_8,26,40,BIT,student8@example.com
9,Student_9,23,71,BCA,student9@example.com
10,Student_10,18,67,BSc CSIT,student10@example.com
11,Student_11,,57,BIT,student11@example.com
12,Student_12,29,46,BSc CSIT,student12@example.com
13,Student_13,21,93,MIT-AI,student13@example.com
14,Student_14,,77,BSc CSIT,student14@example.com
15,Student_15,,45,BIT,student15@example.com
16,Student_16,,53,MIT-AI,student16@example.com
17,Student_17,,69,BCA,student17@example.com
18,Student_18,18,94,BSc CSIT,student18@example.com
19,Student_19,,97,MIT-AI,student19@example.com
20,Student_20,,83,MIT-AI,student20@example.com
21,Student_21,19,85,BCA,student21@example.com
22,Student_22,,53,BCA,student22@example.com
23,Student_23,,83,BIT,student23@example.com
24,Student_24,,80,MIT-AI,student24@example.com
25,Student_25,,48,MIT-AI,student25@example.com
26,Student_26,25,70,BIT,student26@example.com
27,Student_27,,41,BSc CSIT,student27@example.com
28,Student_28,22,57,MIT-AI,student28@example.com
29,Student_29,22,44,MIT-AI,student29@example.com
30,Student_30,,65,BSc CSIT,student30@example.com
31,Student_31,27,62,BCA,student31@example.com
32,Student_32,,51,BCA,student32@example.com
33,Student_33,,53,BCA,student33@example.com
34,Student_34,24,99,BIT,student34@example.com
35,Student_35,25,52,BSc CSIT,student35@example.com
36,Student_36,29,74,BCA,student36@example.com
37,Student_37,,86,BIT,student37@example.com
38,Student_38,,54,BSc CSIT,student38@example.com
39,Student_39,19,74,BCA,student39@example.com
40,Student_40,,91,MIT-AI,student40@example.com
41,Student_41,,58,MIT-AI,student41@example.com
42,Student_42,24,54,BCA,student42@example.com
43,Student_43,,90,BCA,student43@example.com
44,Student_44,28,47,BIT,student44@example.com
45,Student_45,,62,MIT-AI,student45@example.com
46,Student_46,26,52,BSc CSIT,student46@example.com
47,Student_47,,62,BCA,student47@example.com
48,Student_48,28,70,BSc CSIT,student48@example.com
49,Student_49,19,69,BCA,student49@example.com
50,Student_50,,81,MIT-AI,student50@example.com
51,Student_51,27,41,BCA,student51@example.com
52,Student_52,29,50,BSc CSIT,student52@example.com
53,Student_53,20,,MIT-AI,student53@example.com
54,Student_54,28,,BCA,student54@example.com
55,Student_55,22,61,MIT-AI,student55@example.com
56,Student_56,18,58,BIT,student56@example.com
57,Student_57,,,BSc CSIT,student57@example.com
58,Student_58,,80,BCA,student58@example.com
59,Student_59,,77,BCA,student59@example.com
60,Student_60,,68,BCA,student60@example.com
61,Student_61,,49,BSc CSIT,student61@example.com
62,Student_62,,61,BIT,student62@example.com
63,Student_63,20,63,BSc CSIT,student63@example.com
64,Student_64,,47,BCA,student64@example.com
65,Student_65,,86,BSc CSIT,student65@example.com
66,Student_66,28,45,BCA,student66@example.com
67,Student_67,,46,BSc CSIT,student67@example.com
68,Student_68,25,59,MIT-AI,student68@example.com
69,Student_69,,56,BSc CSIT,student69@example.com
70,Student_70,24,75,BCA,student70@example.com
71,Student_71,29,47,BCA,student71@example.com
72,Student_72,,99,BSc CSIT,student72@example.com
73,Student_73,,52,BSc CSIT,student73@example.com
74,Student_74,26,63,MIT-AI,student74@example.com
75,Student_75,21,85,BIT,student75@example.com
76,Student_76,20,89,BIT,student76@example.com
77,Student_77,22,70,MIT-AI,student77@example.com
78,Student_78,,62,BIT,student78@example.com
79,Student_79,,56,BIT,student79@example.com
80,Student_80,,89,BCA,student80@example.com
81,Student_81,25,85,BCA,student81@example.com
82,Student_82,21,63,BCA,student82@example.com
83,Student_83,,,BSc CSIT,student83@example.com
84,Student_84,,49,BSc CSIT,student84@example.com
85,Student_85,,70,BIT,student85@example.com
86,Student_86,,84,BSc CSIT,student86@example.com
87,Student_87,20,59,BCA,student87@example.com
88,Student_88,18,55,BSc CSIT,student88@example.com
89,Student_89,22,53,BIT,student89@example.com
90,Student_90,,42,BCA,student90@example.com
91,Student_91,,69,BIT,student91@example.com
92,Student_92,29,57,BSc CSIT,student92@example.com
93,Student_93,24,98,MIT-AI,student93@example.com
94,Student_94,22,45,MIT-AI,student94@example.com
95,Student_95,19,59,BCA,student95@example.com
96,Student_96,25,74,BIT,student96@example.com
97,Student_97,28,58,MIT-AI,student97@example.com
98,Student_98,,65,MIT-AI,student98@example.com
99,Student_99,,74,BCA,student99@example.com
100,Student_100,,51,BCA,student100@example.com
101,Student_101,,47,BIT,student101@example.com
102,Student_102,20,,MIT-AI,student102@example.com
103,Student_103,,96,BIT,student103@example.com
104,Student_104,20,,BIT,student104@example.com
105,Student_105,22,88,BCA,student105@example.com
106,Student_106,,49,BIT,student106@example.com
107,Student_107,,60,BSc CSIT,student107@example.com
108,Student_108,23,,BIT,student108@example.com
109,Student_109,,80,MIT-AI,student109@example.com
110,Student_110,,84,BIT,student110@example.com
111,Student_111,,81,BSc CSIT,student111@example.com
112,Student_112,,,BSc CSIT,student112@example.com
113,Student_113,24,70,MIT-AI,student113@example.com
114,Student_114,21,79,MIT-AI,student114@example.com
